,image,link,text
0,https://imgd.aeplcdn.com/227x128/n/cw/ec/124013/hunter-350-right-side-view-5.png?isig=0&q=80,/royalenfield-bikes/hunter-350/,Royal Enfield Hunter 350
1,https://imgd.aeplcdn.com/227x128/n/cw/ec/183389/classic-350-right-side-view-62.jpeg?isig=0&q=80,/royalenfield-bikes/classic-350/,Royal Enfield Classic 350
2,https://imgd.aeplcdn.com/227x128/n/cw/ec/49656/continental-gt-right-side-view-12.png?isig=0&q=80,/royalenfield-bikes/continental-gt/,Royal Enfield Continental GT 650
3,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/bullet/,Royal Enfield Bullet 350
4,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/goan-classic-350/,Royal Enfield Goan Classic 350
5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/shotgun-650/,Royal Enfield Shotgun 650
6,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/meteor-350/,Royal Enfield Meteor 350
7,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/himalayan/,Royal Enfield Himalayan 450
8,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/guerrilla-450/,Royal Enfield Guerrilla 450
9,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/super-meteor-650/,Royal Enfield Super Meteor 650
10,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/bear-650/,Royal Enfield Bear 650
11,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/interceptor/,Royal Enfield Interceptor 650
12,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/scram-411/,Royal Enfield Scram 411
13,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/classic-650/,Royal Enfield Classic 650
14,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/scram-440/,Royal Enfield Scram 440
15,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/himalayan-650/,Royal Enfield Himalayan 650
16,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/scrambler-450/,Royal Enfield Scrambler 450
17,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/flying-flea/,Royal Enfield Flying Flea C6
18,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/continental-gt-450/,Royal Enfield Continental GT 450
19,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/bullet-650-twin/,Royal Enfield Bullet 650 Twin
20,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/himalayan-electric/,Royal Enfield Himalayan Electric
21,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,/royalenfield-bikes/himalayan-raid-450/,Royal Enfield Himalayan Raid 450
